source_model	table	rows	notes
CoA_Chongqin_2015	BUILDING	1	
CoA_Chongqin_2015	ENVIRONMENT	1	
CoA_Chongqin_2015	SYS_CITY	203	
CoA_Chongqin_2015	STOREY	3	
CoA_Chongqin_2015	ROOM	36	
CoA_Chongqin_2015	ROOM_GROUP	36	
CoA_Chongqin_2015	ROOM_TYPE_DATA	44	Room type templates referenced by ROOM.TYPE.
CoA_Chongqin_2015	OUTSIDE	1	
CoA_Chongqin_2015	GROUND	1	
CoA_Chongqin_2015	SURFACE	560	
CoA_Chongqin_2015	MAIN_ENCLOSURE	235	
CoA_Chongqin_2015	PLANE	280	
CoA_Chongqin_2015	GEOMETRY	840	
CoA_Chongqin_2015	LOOP_POINT	4347	
CoA_Chongqin_2015	POINT	4523	
CoA_Chongqin_2015	DEFAULT_SETTING	203	
CoA_Chongqin_2015	SCHEDULE_YEAR	298	
CoA_Chongqin_2015	SYS_MATERIAL	818	
CoA_Chongqin_2015	SYS_OUTWALL	142	
CoA_Chongqin_2015	SYS_OUTWALL_MATERIAL	554	
CoA_Chongqin_2015	SYS_INWALL	14	
CoA_Chongqin_2015	SYS_INWALL_MATERIAL	45	
CoA_Chongqin_2015	SYS_ROOF	18	
CoA_Chongqin_2015	SYS_ROOF_MATERIAL	76	
CoA_Chongqin_2015	SYS_GROUNDFLOOR	5	
CoA_Chongqin_2015	SYS_GROUNDFLOOR_MATERIAL	7	
CoA_Chongqin_2015	SYS_MIDDLEFLOOR	12	
CoA_Chongqin_2015	SYS_MIDDLEFLOOR_MATERIAL	36	
CoA_Chongqin_2015	SYS_AIRFLOOR	1	
CoA_Chongqin_2015	SYS_AIRFLOOR_MATERIAL	4	
CoA_Chongqin_2015	SYS_WINDOW	6	
CoA_Chongqin_2015	SYS_WINDOW_MATERIAL	10	
CoA_Chongqin_2015	SYS_APP_MATERIAL	3	
CoA_Chongqin_2015	SYS_DOOR	8	
CoA_Chongqin_2015	WINDOW	45	
CoA_Chongqin_2015	WINDOW_TYPE_DATA	45	
CoA_Chongqin_2015	DOOR	0	
CoA_Chongqin_2015	SHADING	0	
CoA_Chongqin_2015	SYS_SHADING	3	
CoA_Chongqin_2015	LIB_SHADING	3	
CoA_Chongqin_2015	DIST_MODE	17	
CoA_Chongqin_2015	OCCUPANT_GAINS	36	
CoA_Chongqin_2015	LIGHT_GAINS	36	
CoA_Chongqin_2015	EQUIPMENT_GAINS	36	
CoA_Chongqin_2015	CLIMATE_DATA	8760	
CoA_Chongqin_2015	GROUND_DATA	8760	
CoA_Chongqin_2015	AC_SYS	0	
CoA_Chongqin_2015	AHU	0	
CoA_Chongqin_2015	VRV_SOURCE	0	
CoA_Chongqin_2015	VRV_TERMINAL	0	
